airport_id,name,city,country_id,iata,icao,latitude,longitude,altitude_ft,timezone_hrs,dst,tz,type,source
8832,Lublin Airport,Lublin,225,LUZ,EPLB,51.240278,22.713611,633,1.0,E,Europe/Warsaw,airport,OurAirports
1172,El Obeid Airport,El Obeid,263,EBD,HSOB,13.153200149536133,30.23270034790039,1927,3.0,U,Africa/Khartoum,airport,OurAirports
2567,Itacoatiara Airport,Itaituba,78,ITA,SBIC,-3.127259969711304,-58.481201171875,142,-4.0,S,America/Boa_Vista,airport,OurAirports
10135,San Cristobal de las Casas Airport,San Cristobal de las Casas,188,SZT,MMSC,16.690299987793,-92.530097961426,7707,-6.0,N,America/Mexico_City,airport,OurAirports
2379,Suwon Airport,Suwon,259,SWU,RKSW,37.23939895629883,127.00700378417967,88,9.0,U,Asia/Seoul,airport,OurAirports
5530,St. Theresa Point Airport,St. Theresa Point,88,YST,CYST,53.84560012817383,-94.85189819335938,773,-6.0,A,America/Winnipeg,airport,OurAirports
1880,Guapiles Airport,Guapiles,102,GPL,MRGP,10.2172002792,-83.79699707030001,883,-6.0,U,America/Costa_Rica,airport,OurAirports
7648,Bermuda Dunes Airport,Palm Springs,288,UDD,KUDD,33.748401641846,-116.27500152588,73,-8.0,A,America/Los_Angeles,airport,OurAirports
2314,Kanoya Airport,Kanoya,159,N,RJFY,31.367599487304688,130.84500122070312,214,9.0,U,Asia/Tokyo,airport,OurAirports
3378,Lanzhou Zhongchuan Airport,Lanzhou,95,LHW,ZLLL,36.5152015686,103.620002747,6388,8.0,U,Asia/Shanghai,airport,OurAirports
11133,Tököl Airport,Budapest,148,N,LHTL,47.345298767100005,18.9808006287,318,1.0,E,N,airport,OurAirports
7446,Wadi Halfa Airport,Wadi Halfa,263,WHF,HSSW,21.802698135375977,31.521577835083008,961,3.0,U,Africa/Khartoum,airport,OurAirports
7780,Burlington Executive,Burlington,88,N,CZBA,43.4414531515,-79.850102663,602,-5.0,A,America/Toronto,airport,OurAirports
5681,Gore Airport,Gore,122,GOR,HAGR,8.1614,35.5529,6580,3.0,U,Africa/Addis_Ababa,airport,OurAirports
7443,Bird Island Airport,Bird Island,250,BDI,FSSB,-3.72472,55.205299,6,4.0,U,N,airport,OurAirports
7105,Chalkyitsik Airport,Chalkyitsik,288,CIK,PACI,66.6449966431,-143.740005493,544,-9.0,A,America/Anchorage,airport,OurAirports
5450,Grímsey Airport,Grímsey,149,GRY,BIGR,66.5458,-18.0173,66,0.0,N,Atlantic/Reykjavik,airport,OurAirports
7296,San Carlos,San Carlos,207,NCR,MNSC,11.133399963378906,-84.7699966430664,91,-6.0,U,America/Managua,airport,OurAirports
74,Atikokan Municipal Airport,Atikokan,88,YIB,CYIB,48.7738990784,-91.6386032104,1408,-5.0,A,America/Coral_Harbour,airport,OurAirports
